step,d_loss,g_loss,r1,d_real,d_fake,d_train_clean,d_validate_clean,seconds_per_step
250,1.391856074333191,0.6928781270980835,0.00021222273062448949,0.03432510048151016,0.02265012450516224,0.015480929985642433,0.015728075057268143,0.05670164039544761
500,1.3863937854766846,0.6944247484207153,3.4748820326058194e-05,-0.0010147899156436324,-0.0009355037473142147,-0.002425260841846466,-0.0017675335984677076,0.038597015907987954
750,1.3865762948989868,0.6941915154457092,4.083681687916396e-06,-0.0010047133546322584,-0.0006878583808429539,0.0011723584029823542,0.001209855661727488,0.03858431888744235
1000,1.3877679109573364,0.6966478228569031,6.682903403998353e-06,-0.0032711022067815065,-0.0031315756496042013,-0.045638978481292725,-0.045598726719617844,0.038598270224407316
1250,1.4001820087432861,0.6974611878395081,0.0003895816334988922,0.013904433697462082,0.013166144490242004,-0.06041621416807175,-0.06009821593761444,0.03861390909180045
1500,1.3864092826843262,0.6928904056549072,3.1302820389100816e-06,0.0006160747143439949,0.0008117249235510826,0.00032387557439506054,0.0003128907992504537,0.038615563556551935
1750,1.3863025903701782,0.6932486891746521,3.853571968193137e-07,-6.160507473396137e-05,-5.492499258252792e-05,0.011779487133026123,0.012690408155322075,0.03862149915099144
2000,1.4175366163253784,0.7846828699111938,0.007662314455956221,-0.013377806171774864,-0.05644227936863899,0.0648326724767685,0.06430641561746597,0.038625050628557804
2250,1.380964756011963,0.7218822240829468,0.007681988645344973,0.011315008625388145,-0.012178000062704086,-0.0214984193444252,-0.019992072135210037,0.038625152859836816
2500,1.3837599754333496,0.7158122062683105,0.005467260256409645,0.006414852105081081,-0.008522658608853817,0.00202358141541481,0.0039215716533362865,0.038626038080081346
