step,d_loss,g_loss,r1,d_real,d_fake,d_train_clean,d_validate_clean,seconds_per_step
250,1.3607629537582397,0.7886785268783569,0.002026210306212306,0.11852896958589554,-0.06263516843318939,-0.050713032484054565,-0.054983027279376984,0.05146602811664343
500,1.3803565502166748,0.7162669897079468,0.0011263249907642603,0.010865950025618076,-0.014261131174862385,0.05522327497601509,0.05545104667544365,0.03615003543905914
750,1.3834823369979858,0.7063208222389221,0.000620704551693052,0.0059980605728924274,-0.006185470148921013,0.01177244633436203,0.011752171441912651,0.03618166190385819
1000,1.3847156763076782,0.7025101780891418,0.00037502014311030507,0.0036743590608239174,-0.0034483608324080706,-0.0006255939370021224,-0.0010593150509521365,0.03619046275876463
1250,1.3852349519729614,0.6995791792869568,0.000252104684477672,0.0022939154878258705,-0.0024382327683269978,0.007676879875361919,0.006935293320566416,0.03618754996731877
1500,1.3855438232421875,0.6978923678398132,0.00017546959861647338,0.0017237997381016612,-0.0015901607694104314,0.011778212152421474,0.011747017502784729,0.036219505248591306
1750,1.3856863975524902,0.6970438361167908,0.0001382836198899895,0.0013702043797820807,-0.001274276408366859,0.007486807182431221,0.006873009726405144,0.0361952343955636
2000,1.38576340675354,0.696499764919281,0.00011755875311791897,0.0011388399871066213,-0.0011321392375975847,0.010014884173870087,0.00917506217956543,0.03623388044722378
2250,1.385788917541504,0.696281909942627,0.00011154128878843039,0.0011371626751497388,-0.0010289838537573814,0.00089400599244982,0.00035923070390708745,0.03622197920456529
2500,1.385820746421814,0.6959709525108337,0.0001041844006977044,0.00102485460229218,-0.0009952293476089835,-0.0023053225595504045,-0.0030153742991387844,0.0362575716804713
