epoch,train_loss,train_reconstruction,train_kl,val_loss,val_reconstruction,val_kl,epoch_seconds
1,18982.35849544702,18444.86415433568,10.749886994823715,17524.780580357143,17044.774972098214,9.600114004952568,6.3448944399133325
2,17261.520682429637,16783.95390430981,9.551336026349604,17466.20580357143,16995.442466517856,9.41526609148298,5.141967922914773
3,17220.766187655216,16744.849334514693,9.518335680298458,17404.861662946427,16937.518387276785,9.34686232975551,5.42758985189721
4,17193.246546461094,16719.82855184189,9.468360885089597,17469.91498325893,16997.59037388393,9.446493121555873,5.396660757251084
5,17180.303743274006,16708.28353942467,9.44040407092366,17388.694112723213,16925.192020089286,9.270039531162807,5.082257899921387
6,17170.878789838574,16698.909535389073,9.439384994127893,17352.80521763393,16889.69818638393,9.262140192304338,5.18630002066493
7,17147.669029387416,16680.750805179014,9.338365062183103,17817.206947544644,17347.739564732143,9.389349228995187,5.336618671193719
8,17152.06342482409,16683.301874223926,9.375232181801701,17410.057728794643,16949.50613839286,9.211031069074359,5.755109714809805
9,17137.58418486134,16671.123800315603,9.329207448769878,17619.32806919643,17157.10454799107,9.244471658979144,5.337667562067509
10,17149.05923401283,16683.17572304429,9.317670050046301,17520.431668526784,17056.133900669643,9.285951341901507,5.396158653777093
11,17130.26751991929,16664.628747801118,9.312776508710241,17396.7634765625,16939.155608258927,9.15215996333531,5.424968446139246
12,17026.194264797185,16680.89238087231,6.906038478510269,17281.88602120536,16950.355803571427,6.630602250780378,5.376204751431942
13,16986.55502379967,16676.526735823674,6.200565947602127,17177.81517857143,16891.518359375,5.725935159410749,5.386461422778666
14,16975.625032336506,16668.926786915355,6.133964953833068,17171.47433035714,16880.482979910714,5.819828224182129,5.4127675909549
15,16904.69375388038,16675.166866075124,4.590538524634002,17015.656808035714,16882.766099330358,2.657813801084246,5.474864337127656
16,16822.237631286218,16683.33950098303,2.7779628093668958,17010.59598214286,16869.44849330357,2.8229489258357456,5.253643645904958
17,16815.034341370032,16674.227267435843,2.8161408222274273,16977.163671875,16863.87349330357,2.2658021109444753,5.318516068160534
18,16811.921655111753,16670.396891814984,2.8304957909299837,17015.824553571427,16868.6498046875,2.9434935229165213,5.398560197092593
19,16806.460817854924,16664.230717741102,2.8446020401076764,17015.681222098214,16874.23138950893,2.8289945943014962,5.026139377150685
20,16805.36714222889,16661.97351963473,2.8678726092079616,17005.843331473214,16867.66361607143,2.7635929107666017,5.249515179079026
21,16801.571699736134,16656.627619257037,2.8988816556551598,16998.627120535715,16875.051646205357,2.471509827886309,5.356074396986514
22,16796.01513671875,16651.332823494413,2.8936466989138268,17001.554910714287,16855.425167410714,2.922596297945295,5.705123461782932
23,16795.94081449193,16650.33853412148,2.91204564539802,17029.071456473215,16875.840931919643,3.0646122455596925,5.105181192047894
24,16789.442712644868,16644.232997464816,2.9041947923748697,16991.169140625,16857.66333705357,2.670114128930228,5.273933648597449
25,16789.79154917736,16642.295335782284,2.949924828990406,16992.936049107142,16857.419419642858,2.710329968588693,5.253223104868084
26,16785.99736457471,16638.144857848718,2.9570504679585135,17015.346902901787,16867.268191964286,2.961574615750994,5.385212336201221
27,16782.883510968542,16634.188651179637,2.9738964481859016,17016.6322265625,16866.521484375,3.002212061200823,5.306235271971673
28,16781.191978606166,16630.40392177152,3.015760770696678,16979.359040178573,16849.810435267857,2.5909717491694857,5.324818679597229
29,16781.073546150663,16628.68881609582,3.047695013860993,17000.915345982143,16857.228041294642,2.8737437248229982,4.967774703167379
30,16781.062729589197,16628.14028223303,3.0584489233446437,17010.896875,16863.4294921875,2.9493487766810826,5.070251872297376
